,O_m,O_r,O_L,O_k,O_B,b0,h,nvec1,nvec2,nvec3,Chi2
56,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,0.25000418610267183,227464420.10226944
57,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,0.2500048643865682,227464420.10226944
58,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,0.250005393885236,227464420.10226944
59,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,0.2500056023002853,227464420.10226944
60,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,0.25000463561135733,227464420.10226944
61,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,0.2500042006115345,227464420.10226944
62,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,0.2500039326218457,227464420.10226944
63,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,0.250003495513061,227464420.10226944
64,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,0.2500034181438186,227464420.10226944
65,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,0.2500026617748242,227464420.10226944
66,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,0.2500033737485989,227464420.10226944
